OBJECTID,municipality,scenario,period,cdd,csdi,cwd,fd,prcptot,r10mm,r20mm,r95p,r95ptot,r99p,r99ptot,rx1day,rx5day,sdii,tn10p,tn90p,tnlt2,tnn,tnx,tx10p,tx90p,txd_tnd,txge30,txgt50p,txn,txx,wsdi
89.0,Thembisile,ssp126,near-term_2021-2040,5.851359,-0.20825775,0.11762619,-0.711590909090909,6.081095,-0.07563283208020266,0.06967000835421899,5.97568,0.89154845,4.03884,0.6543894,0.5871169,2.48923,0.06032942798193256,-0.76046914,12.652647,-3.0584848484848486,0.11142433,-0.009245555,-0.4205408,11.2908325,1.4915433,23.052881,9.458291,0.51025134,0.91978073,16.859022
89.0,Thembisile,ssp245,far-term_2081-2100,13.17982,-3.021212,0.36203036,-1.4098484848484845,5.1511636,0.21750208855471817,0.272765246449457,10.324402,1.4602858,9.631744,1.5130473,2.125106,3.38886,0.10676800700955802,-6.209538,36.42717,-7.128030303030304,2.2818542,2.3460572,-5.578402,29.42493,7.884769,74.59896,25.316214,2.1700726,3.0083618,61.956642
89.0,Thembisile,ssp245,mid-term_2041-2060,6.382998,-2.0409093,0.25568137,-1.1371212121212122,3.8723145,0.3928989139515444,0.3434001670843778,11.585673,1.7299023,8.702346,1.3976902,1.7692528,4.716057,0.1611576321061771,-3.7982535,22.855083,-5.596969696969698,1.3587312,1.4301186,-2.9817178,19.055603,3.7225282,44.888035,16.74178,1.2592045,1.8410378,33.400375
89.0,Thembisile,ssp245,near-term_2021-2040,7.383873,-0.5049441,0.35929236,-0.7871610845295055,3.4458416,0.17770050125313355,0.13967000835421942,7.418238,1.1495285,6.128364,1.0001019,1.363933,1.9910736,0.11523966540378439,-0.69884175,12.88891,-3.5811004784689,0.72653675,0.79652786,-0.2463096,11.545519,1.5811715,23.112165,9.301469,0.46598434,0.96402997,17.522766
89.0,Thembisile,ssp370,far-term_2081-2100,19.78395,-3.5266836,0.57468766,-1.610942760942761,3.177348,0.5345864661654147,0.5118629908103597,18.48364,2.7894952,14.48636,2.2783997,2.762411,6.5318933,0.29571830672656346,-8.482773,58.962177,-8.38644781144781,3.7342649,3.310587,-7.208037,41.223183,15.3740425,108.68493,32.416946,3.1630142,4.520144,105.6238
89.0,Thembisile,ssp370,mid-term_2041-2060,11.801494,-2.834091,0.119423866,-1.4442760942760942,-3.9004517,-0.033834586466165696,0.30396825396825405,11.150311,1.8563036,6.6538086,1.1118083,1.6061739,3.395813,0.08682865244469944,-4.892357,27.247171,-6.9253367003367,1.5370107,1.1129284,-3.449744,20.550493,4.4879317,48.17011,18.103773,1.3249458,2.004069,35.587673
89.0,Thembisile,ssp370,near-term_2021-2040,7.097112,-1.1544613,0.20451164,-1.108164983164983,2.4175212,0.1205513784461149,0.12326649958228897,7.5982795,1.1898502,5.800673,0.93094,1.0162582,2.5807164,0.054429413035888295,-1.6326733,14.310608,-4.578114478114478,0.634472,0.07272021,-0.329744,11.456598,1.5823765,21.732147,9.033455,0.5970109,0.8884633,16.046013
89.0,Thembisile,ssp585,far-term_2081-2100,22.7195,-3.5575757,0.5088561,-1.609848484848485,7.6491294,0.43972431077694313,0.7576858813700921,27.6649,4.2140036,22.110683,3.5069792,3.829626,8.442912,0.4208914059284705,-9.012215,65.1896,-8.48030303030303,4.5801353,4.8425426,-8.187421,51.871902,19.34071,142.7388,38.01552,4.1549115,5.8757834,151.02101
89.0,Thembisile,ssp585,mid-term_2041-2060,10.782994,-2.7643142,0.023935,-1.330781499202552,7.6103516,0.7770258980785307,0.42276524644945673,14.846576,2.1952028,11.320813,1.7774602,1.9309368,4.2588296,0.22378977622523402,-5.4195504,31.317705,-6.697129186602871,1.9232546,1.9684372,-4.4192896,23.957947,6.0260763,58.8994,21.131495,1.758921,2.3294933,45.508312
89.0,Thembisile,ssp585,near-term_2021-2040,6.8964868,-0.70378786,-0.10860443,-0.7652711323763954,5.9618325,0.3802005012531329,0.4164160401002506,15.583781,2.4121344,11.515565,1.8713163,2.8339767,4.1548333,0.16948603936036033,-1.5228478,14.877765,-3.9341706539074957,0.8286884,0.95403415,-0.6166792,12.834693,2.032496,27.378946,10.753868,0.69899243,1.0040079,18.946407
90.0,Dr JS Moroka,ssp126,far-term_2081-2100,9.653187,-1.578409,0.4196086,-0.0457954545454546,-2.2434998,-0.1759429824561387,0.17401315789473681,5.4036255,0.92944384,5.7054853,0.9857949,0.95336723,2.9289398,0.10307110599247737,-2.4659982,17.898804,-1.0743181818181817,0.5415752,0.5271225,-2.021501,16.669067,2.6035109,40.94919,14.391346,1.055893,1.5702915,28.88985
90.0,Dr JS Moroka,ssp126,mid-term_2041-2060,9.109436,-1.113409,0.27335978,-0.07454545454545458,0.6189575,-0.3159429824561357,0.20401315789473706,8.514847,1.4155807,7.153352,1.2142888,2.070057,2.5490723,0.06799170456698711,-2.3996208,16.855783,-1.3443181818181817,0.58017373,0.32804585,-1.8535833,14.974041,2.1035109,35.997932,13.176018,0.8906708,1.385498,24.560898
90.0,Dr JS Moroka,ssp126,near-term_2021-2040,7.4706917,-0.22090864,0.34835958,-0.013295454545454582,4.7466125,-0.01844298245613807,0.1315131578947366,5.9000397,0.9713378,4.5634956,0.7759217,0.7492943,2.2289085,0.11136976394003906,-0.87094975,12.615995,-0.9630681818181819,0.10975981,-0.002981186,-0.4708147,11.371912,1.4710109,26.00293,9.636898,0.52098846,0.87519836,17.481956
90.0,Dr JS Moroka,ssp245,far-term_2081-2100,13.943493,-3.0079544,0.52192974,-0.15681818181818186,2.9057312,0.16923558897243218,0.30407268170426005,9.127857,1.4724355,10.708292,1.8138944,1.7885895,3.2340279,0.14383467017926943,-6.2300744,35.87076,-1.7875,2.2718067,2.3858223,-5.5607357,29.53905,7.7337914,79.1441,25.207012,2.1624565,2.9662495,63.85263
90.0,Dr JS Moroka,ssp245,mid-term_2041-2060,10.593491,-2.1613636,0.17669249,-0.12840909090909097,3.3110352,0.36447368421053206,0.4385964912280702,12.19294,1.9670463,9.465255,1.5880781,1.8310432,5.0363426,0.20066354995622682,-3.8746216,22.571537,-1.4579545454545455,1.3897789,1.4593601,-2.9485972,19.146133,3.6986244,48.89952,16.631107,1.2321377,1.8157272,34.184025
90.0,Dr JS Moroka,ssp245,near-term_2021-2040,7.588188,-0.551136,0.519608,-0.04659090909090912,3.3388672,0.15280701754386072,0.22401315789473708,7.3879433,1.2200632,6.418598,1.0791351,1.1998348,2.2040558,0.14530721183406126,-0.719892,12.806978,-0.9953947368421052,0.7152287,0.80008316,-0.23805141,11.619077,1.6216905,25.740334,9.284832,0.43387794,0.8902111,17.98728
90.0,Dr JS Moroka,ssp370,far-term_2081-2100,21.713913,-3.5145202,0.7459903,-0.1781565656565657,3.2600098,0.5412280701754462,0.5921052631578945,19.153694,3.000536,14.51207,2.3413544,2.9236364,6.6536484,0.3368470926568121,-8.531975,58.23673,-2.0540404040404043,3.7759962,3.4231691,-7.2242393,41.26867,14.962259,110.10432,32.321457,3.1530237,4.563057,107.853676
90.0,Dr JS Moroka,ssp370,mid-term_2041-2060,12.004696,-2.8284087,0.14993763,-0.1781565656565657,-3.761322,-0.14166666666666394,0.32499999999999973,10.309132,1.8119597,8.235825,1.4310786,1.7509861,3.7376862,0.16442141167139912,-4.9035263,26.292473,-1.7957070707070706,1.4588844,1.1519985,-3.412434,20.59158,4.216428,52.245995,18.102222,1.3015957,1.9985008,37.27728
90.0,Dr JS Moroka,ssp370,near-term_2021-2040,6.78891,-1.0825757,0.51441145,-0.14343434343434347,3.2550354,0.1359649122807074,0.1842105263157896,7.889408,1.2942867,6.9426737,1.171394,1.3139257,3.0707169,0.1046816082859996,-1.5037398,13.6566925,-1.2859848484848484,0.5647836,0.12108803,-0.30654192,11.552723,1.4761497,24.308487,9.006683,0.5589037,0.9235649,16.82172
90.0,Dr JS Moroka,ssp585,far-term_2081-2100,27.581577,-3.5806818,0.5112152,-0.1795454545454546,4.465271,0.29304511278195733,0.7112155388471173,25.407196,4.154349,19.90805,3.3515058,3.5936165,8.108578,0.44532278043053974,-9.012175,64.52641,-2.059090909090909,4.6271696,4.9203987,-8.220581,51.943302,18.99294,138.26202,37.89487,4.1815386,5.8101215,153.68521
90.0,Dr JS Moroka,ssp585,mid-term_2041-2060,12.355385,-2.8207533,0.22550201,-0.13977272727272733,6.329132,0.6311403508771978,0.4219298245614036,14.101021,2.2661514,10.758234,1.7897607,1.9188452,4.6389694,0.25236345541396066,-5.4597836,30.676092,-1.7130980861244018,1.9296906,2.0255232,-4.3899755,23.971659,5.789474,63.238106,20.952957,1.7453089,2.2665558,46.67569
90.0,Dr JS Moroka,ssp585,near-term_2021-2040,8.941093,-0.91148305,0.0005016327,-0.050478468899521595,5.023712,0.14661654135339042,0.42192982456140316,14.367882,2.3838925,12.327511,2.1107545,3.0045805,4.7869606,0.20868402740187664,-1.4989915,14.663114,-0.9703947368421053,0.8235688,1.0017128,-0.5764375,12.965875,1.992225,29.93589,10.738371,0.6877632,0.994709,19.55783
91.0,Thaba Chweu,ssp126,far-term_2081-2100,5.093848,-1.2915455,0.012181473,-1.579090909090909,-3.1089234,-0.3004849624060146,0.1726359649122803,7.737162,1.0004811,7.446603,0.9262305,1.6686859,6.491454,0.137805513148023,-2.434721,18.563793,-5.3897045454545465,0.60411286,0.38452205,-1.4717848,14.775852,2.3204126,26.856047,12.538975,0.8582619,1.5675141,18.254612
